Date,Q_DET_SWG,Q_DET_GEN,Q_DET_LRO,Q_DET_URO,DET_QTot,Q_BCL_GEN,Q_BCL_SWG,BCL_QTot,DET_TDG,BCL1_TDG,BCL2_TDG,BCLO_TDG
2024-03-26T16:00:00-0700,0,4660.0000000452,0,0,4660.0000000452,2410.00000011583,0,2410.00000011583,101.45125958379,101.091405184175,101.364256480218,100.818553888131
2024-03-26T17:00:00-0700,0,4860.00000010171,0,0,4860.00000010171,2419.99999990677,0,2419.99999990677,101.725082146769,101.227830832196,101.364256480218,100.954979536153
2024-03-26T18:00:00-0700,0,4930.00000005085,0,0,4930.00000005085,2480.00000006498,0,2480.00000006498,101.864546202358,101.366120218579,101.502732240437,101.092896174863
2024-03-26T19:00:00-0700,0,5000,0,0,5000,2489.99999985592,0,2489.99999985592,101.727447216891,101.366120218579,101.502732240437,101.092896174863
2024-03-26T20:00:00-0700,0,4969.9999999209,0,0,4969.9999999209,2489.99999985592,0,2489.99999985592,101.727447216891,101.366120218579,101.366120218579,101.092896174863
2024-03-26T21:00:00-0700,0,4910.00000011583,0,0,4910.00000011583,2519.99999993502,0,2519.99999993502,101.727447216891,101.502732240437,101.366120218579,101.092896174863
2024-03-26T22:00:00-0700,0,4699.99999991525,0,0,4699.99999991525,2439.99999984179,0,2439.99999984179,101.867105985722,101.641586867305,101.641586867305,101.231190150479
2024-03-26T23:00:00-0700,0,250.000000070629,0,0,250.000000070629,2319.99999987852,0,2319.99999987852,101.867105985722,101.641586867305,101.641586867305,101.231190150479
2024-03-27T00:00:00-0700,0,0,0,0,0,2169.99999983614,0,2169.99999983614,101.867105985722,101.778385772914,101.641586867305,101.231190150479
2024-03-27T01:00:00-0700,0,0,0,0,0,2110.00000003108,0,2110.00000003108,102.55705251581,102.054794520548,101.917808219178,101.369863013699
2024-03-27T02:00:00-0700,0,0,0,0,0,2090.00000009606,0,2090.00000009606,102.96948034094,102.054794520548,101.917808219178,101.369863013699
2024-03-27T03:00:00-0700,0,0,0,0,0,2079.99999995197,0,2079.99999995197,103.248898678414,102.057613168724,102.057613168724,101.508916323731
2024-03-27T04:00:00-0700,0,0,0,0,0,2049.99999987287,0,2049.99999987287,103.39123242349,102.197802197802,102.197802197802,101.648351648352
2024-03-27T05:00:00-0700,0,0,0,0,0,2070.00000016104,0,2070.00000016104,103.253377446926,102.06043956044,102.06043956044,101.648351648352
2024-03-27T06:00:00-0700,0,270.00000000565,0,0,270.00000000565,2070.00000016104,0,2070.00000016104,103.119823302043,102.063273727648,102.063273727648,101.788170563961
2024-03-27T07:00:00-0700,0,4729.99999999435,0,0,4729.99999999435,2049.99999987287,0,2049.99999987287,102.981778023192,101.925722145805,101.925722145805,101.650618982118
2024-03-27T08:00:00-0700,0,4899.99999997175,0,0,4899.99999997175,2079.99999995197,0,2079.99999995197,102.84373274434,101.788170563961,101.788170563961,101.650618982118
2024-03-27T09:00:00-0700,0,4899.99999997175,0,0,4899.99999997175,2079.99999995197,0,2079.99999995197,102.981778023192,101.650618982118,101.788170563961,101.513067400275
2024-03-27T10:00:00-0700,0,4690.00000012431,0,0,4690.00000012431,1990.0000000678,0,1990.0000000678,103.262372131601,101.790633608815,101.928374655647,101.652892561983
2024-03-27T11:00:00-0700,0,230.000000135608,0,0,230.000000135608,1920.00000011866,0,1920.00000011866,103.257868580895,101.650618982118,101.788170563961,101.513067400275
2024-03-27T12:00:00-0700,0,0,0,0,0,1850.00000016951,0,1850.00000016951,103.39123242349,101.373626373626,101.510989010989,101.236263736264
2024-03-27T13:00:00-0700,0,0,0,0,0,1809.99999994632,0,1809.99999994632,103.942652329749,101.373626373626,101.510989010989,101.236263736264
2024-03-27T14:00:00-0700,0,0,0,0,0,1779.99999986722,0,1779.99999986722,104.494072236008,101.373626373626,101.510989010989,101.236263736264
2024-03-27T15:00:00-0700,0,0,0,0,0,1779.99999986722,0,1779.99999986722,104.907637165702,101.373626373626,101.648351648352,101.373626373626
2024-03-27T16:00:00-0700,0,0,0,0,0,1770.00000007628,0,1770.00000007628,105.183347118831,101.510989010989,101.785714285714,101.373626373626
2024-03-27T17:00:00-0700,0,0,0,0,0,1790.0000000113,0,1790.0000000113,105.328547763666,101.650618982118,101.925722145805,101.513067400275
2024-03-27T18:00:00-0700,0,250.000000070629,0,0,250.000000070629,1829.99999988134,0,1829.99999988134,105.190502484815,101.650618982118,101.788170563961,101.513067400275
2024-03-27T19:00:00-0700,0,4769.99999986439,0,0,4769.99999986439,1829.99999988134,0,1829.99999988134,104.086140254003,101.650618982118,101.650618982118,101.513067400275
